rank,match_id,match_date,home_team,away_team,score_str,total_goals,is_rivalry,fan_comment_count,engagement_score_fans,engagement_score_football_raw,engagement_score_football_norm,engagement_score_combined
1,3773585,2020-10-24,Barcelona,Real Madrid,1-3,4,True,14866,0.6806008997455708,17.5,0.4444444444444444,0.5979461403901766
2,3773597,2021-03-21,Real Sociedad,Barcelona,1-6,7,False,7224,0.3802101385439508,30.0,1.0,0.597136590053568
3,3773387,2021-05-11,Levante UD,Barcelona,3-3,6,False,11383,0.49964338302158895,22.5,0.6666666666666666,0.5581015322973661
4,3773477,2020-11-07,Barcelona,Real Betis,5-2,7,False,6888,0.2719047908707448,30.0,1.0,0.5267381140659841
5,3773497,2021-04-10,Real Madrid,Barcelona,2-1,3,True,17089,0.609436283229002,10.0,0.1111111111111111,0.43502247298774016
6,3773661,2021-04-22,Barcelona,Getafe,5-2,7,False,9104,0.4600320119295734,15.0,0.3333333333333333,0.4156874744208893
7,3773526,2021-02-13,Barcelona,Deportivo Alavés,5-1,6,False,5986,0.1716148277768196,22.5,0.6666666666666666,0.34488297138826607
8,3773695,2021-05-02,Valencia,Barcelona,2-3,5,False,7008,0.34340627635304277,15.0,0.3333333333333333,0.33988074629614445
9,3773369,2021-03-15,Barcelona,Huesca,4-1,5,False,7284,0.2809430159914743,15.0,0.3333333333333333,0.299279627061125
10,3773631,2021-02-07,Real Betis,Barcelona,2-3,5,False,6466,0.27182358089804093,7.5,0.0,0.1766853275837266
